name,uid,chancesCreated,openCrossesRatio,openSucessfullCrosses90,dribbles,conv,npXG,keyPasses,xA,badges,ratingScores
Jeppe Corfitzen,2000126871,30,65.39,64.67,29.7,9.52,34.61,44.97,64.18,,{}
Guy Konan,2002172123,7.27,65.39,8.12,5.33,68.48,61.58,6.24,27.82,,{}
Esteban Bianchi,2002146875,77.15,93.39,63.52,18.61,98.42,70.85,86.97,51.7,,{}
Robert,2002132051,37.15,18.61,61.64,80.61,12.55,23.45,31.21,32.79,,{}
Luca Franco,14243012,68.24,15.27,14.73,9.15,79.15,87.39,71.64,56.24,,{}
Aldo Guerrini,2002144653,14.3,42.61,54.18,5.64,37.09,3.27,13.52,6.36,,{}
Joël Woto Putu Matadi,2000299239,8.85,10.79,23.45,7.82,23.21,38,6,3.45,,{}
Enrico Lazzeri,2000069825,18.06,32.06,63.52,44.97,37.09,44.36,22.36,17.88,,{}
Elías Santini,2000278990,88.3,60.18,42.18,56.67,99.33,90,72.48,81.94,wide playmaker,{"wide playmaker":81}
Leandro Rushinsque,2002120020,64.36,37.33,83.82,82.3,27.52,25.88,49.88,79.45,,{}
Dinay Bierstekers,2000314308,37.15,37.33,85.15,36.85,23.21,7.27,56.48,56.24,,{}
Nahuel Cardoso,2002128069,52.67,15.27,3.45,25.76,42.55,98.18,40.42,56.24,,{}
Ángel Manuel Fernández Iglesias,2002124291,4.36,2.61,3.45,4.06,23.21,83.88,4,6.36,,{}
Emil Rohd,2000126880,6.12,60.18,10.61,12.79,19.09,61.58,15.76,47.58,,{}
Tomás O'Connor,14229542,48.12,98.91,27.33,5.82,71.94,9.82,47.88,67.88,,{}
