name,uid,posessionWonPer90,tackleRating,headersWonRatio,keyPasses,openCrossesRatio,openSucessfullCrosses90,sprints,dribbles,badges,ratingScores
João Ferreira,83257056,98.28,51.08,86.64,75.32,37.39,54.09,85.02,43.32,,{}
Ezequiel Orbe,2000207371,34.38,15.09,29.31,48.06,29.42,62.72,94.72,63.47,,{}
Julinho dos Santos,2002099370,97.31,58.73,84.27,94.72,84.16,72.09,74.03,58.3,,{}
Niccolò Pierozzi,43392081,49.03,86.85,47.52,39.33,37.39,57,83.3,70.15,,{}
André,2000136299,94.72,93.53,96.34,82.76,22.95,76.19,76.4,57,wide defender,{"wide defender":95}
Joseda,67293813,57.54,43.32,30.93,33.73,66.06,48.81,40.3,40.52,,{}
Sergio Pujol,2002124301,60.78,7.65,38.04,54.09,48.49,31.57,27.05,38.79,,{}
Emile Kondé,2000055180,1.62,95.69,5.5,17.35,37.39,51.94,4.2,28.23,,{}
Figueiredo,2000036263,2.91,0.75,1.4,34.91,6.57,6.68,21.23,61.85,,{}
Danilo Veiga,83261126,61.53,71.98,66.7,36.1,29.42,48.81,88.69,62.61,,{}
Douglas Manaças,2002142878,24.25,4.96,27.05,31.25,22.95,42.13,43.86,42.56,,{}
Álvaro Guzmán,2002136529,44.4,43.32,86.64,1.19,99.03,21.98,4.53,2.05,,{}
Gonzalo Navarro,2002073110,5.93,43.32,1.62,80.39,48.49,91.7,53.56,96.44,,{}
Tiago Djaló,83169969,84.81,89.66,75.54,44.61,81.9,50.65,35.13,40.52,wide defender,{"wide defender":83}
Jean-Paul Gil,2002124294,30.82,2.48,15.95,64.44,81.9,48.81,41.7,63.47,,{}
Pedro Aguilar,2002136649,98.81,86.85,54.63,73.06,37.39,39.98,50.32,45.37,,{}
Adão Pratesi,2002142708,29.42,9.81,34.16,99.89,79.09,99.68,94.18,94.07,wing back,{"wing back":93}
Marc Bombardó,2000294793,69.4,28.02,66.7,14.76,6.57,6.68,6.57,4.53,,{}
Enoch Mastoras,2000126653,23.81,22.52,43.97,77.05,97.41,62.72,51.72,56.79,,{}
Diego Cabezas,2002122829,31.68,1.72,3.88,73.6,48.49,72.09,28.56,61.85,,{}
Leonardo Toledo,2000050832,28.13,28.02,4.63,59.05,81.9,81.36,63.69,77.26,,{}
Fabricio Santos,2002122854,29.42,12.39,63.69,1.19,6.57,6.68,23.6,14.22,,{}
Alberto Baio,2000048260,91.7,43.32,97.74,4.53,13.25,21.98,64.87,64.01,,{}
Jean Carlos,2002142734,44.72,4.96,42.67,98.38,79.09,99.89,83.51,99.03,wing back,{"wing back":92}
Jorge Martínez,2002074043,51.08,58.73,47.52,17.35,29.42,21.98,12.18,13.15,,{}
Tom Schulz,2002134037,24.03,35.02,11.96,19.29,32.97,51.94,86.75,30.28,,{}
Santiago Salle,2000241983,49.46,86.85,50,43.21,70.8,48.81,77.05,61.42,,{}
